filename,concept,seed,tone,headline,body,cta,hashtags
hero_v0_s4033667515.jpg,hero,4033667515,formal,"Premium performance, reliable every day.",The Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black combines refined design with lasting durability — perfect for daily use.,Shop now,#design #everyday #musthave
hero_v0_s4033667515.jpg,hero,4033667515,witty,"Sip smarter, not harder.",This Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black keeps your drink hot and your hands happy. Fancy that!,Get it,#design #everyday #musthave
hero_v0_s4033667515.jpg,hero,4033667515,urgent,Limited stock — grab yours now!,Hurry — Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black selling fast. Take it before it's gone.,Buy now,#design #everyday #musthave
lifestyle_v0_s2971485657.jpg,lifestyle,2971485657,formal,"Premium performance, reliable every day.",The Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black combines refined design with lasting durability — perfect for daily use.,Shop now,#design #everyday #musthave
lifestyle_v0_s2971485657.jpg,lifestyle,2971485657,witty,"Sip smarter, not harder.",This Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black keeps your drink hot and your hands happy. Fancy that!,Get it,#design #everyday #musthave
lifestyle_v0_s2971485657.jpg,lifestyle,2971485657,urgent,Limited stock — grab yours now!,Hurry — Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black selling fast. Take it before it's gone.,Buy now,#design #everyday #musthave
flatlay_v0_s1265892813.jpg,flatlay,1265892813,formal,"Premium performance, reliable every day.",The Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black combines refined design with lasting durability — perfect for daily use.,Shop now,#design #everyday #musthave
flatlay_v0_s1265892813.jpg,flatlay,1265892813,witty,"Sip smarter, not harder.",This Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black keeps your drink hot and your hands happy. Fancy that!,Get it,#design #everyday #musthave
flatlay_v0_s1265892813.jpg,flatlay,1265892813,urgent,Limited stock — grab yours now!,Hurry — Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black selling fast. Take it before it's gone.,Buy now,#design #everyday #musthave
closeup_v0_s2681488942.jpg,closeup,2681488942,formal,"Premium performance, reliable every day.",The Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black combines refined design with lasting durability — perfect for daily use.,Shop now,#design #everyday #musthave
closeup_v0_s2681488942.jpg,closeup,2681488942,witty,"Sip smarter, not harder.",This Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black keeps your drink hot and your hands happy. Fancy that!,Get it,#design #everyday #musthave
closeup_v0_s2681488942.jpg,closeup,2681488942,urgent,Limited stock — grab yours now!,Hurry — Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black selling fast. Take it before it's gone.,Buy now,#design #everyday #musthave
duotone_v0_s2953603444.jpg,duotone,2953603444,formal,"Premium performance, reliable every day.",The Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black combines refined design with lasting durability — perfect for daily use.,Shop now,#design #everyday #musthave
duotone_v0_s2953603444.jpg,duotone,2953603444,witty,"Sip smarter, not harder.",This Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black keeps your drink hot and your hands happy. Fancy that!,Get it,#design #everyday #musthave
duotone_v0_s2953603444.jpg,duotone,2953603444,urgent,Limited stock — grab yours now!,Hurry — Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black selling fast. Take it before it's gone.,Buy now,#design #everyday #musthave
seasonal_v0_s2146445811.jpg,seasonal,2146445811,formal,"Premium performance, reliable every day.",The Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black combines refined design with lasting durability — perfect for daily use.,Shop now,#design #everyday #musthave
seasonal_v0_s2146445811.jpg,seasonal,2146445811,witty,"Sip smarter, not harder.",This Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black keeps your drink hot and your hands happy. Fancy that!,Get it,#design #everyday #musthave
seasonal_v0_s2146445811.jpg,seasonal,2146445811,urgent,Limited stock — grab yours now!,Hurry — Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black selling fast. Take it before it's gone.,Buy now,#design #everyday #musthave
action_v0_s2370381403.jpg,action,2370381403,formal,"Premium performance, reliable every day.",The Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black combines refined design with lasting durability — perfect for daily use.,Shop now,#design #everyday #musthave
action_v0_s2370381403.jpg,action,2370381403,witty,"Sip smarter, not harder.",This Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black keeps your drink hot and your hands happy. Fancy that!,Get it,#design #everyday #musthave
action_v0_s2370381403.jpg,action,2370381403,urgent,Limited stock — grab yours now!,Hurry — Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black selling fast. Take it before it's gone.,Buy now,#design #everyday #musthave
minimal_v0_s2890160890.jpg,minimal,2890160890,formal,"Premium performance, reliable every day.",The Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black combines refined design with lasting durability — perfect for daily use.,Shop now,#design #everyday #musthave
minimal_v0_s2890160890.jpg,minimal,2890160890,witty,"Sip smarter, not harder.",This Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black keeps your drink hot and your hands happy. Fancy that!,Get it,#design #everyday #musthave
minimal_v0_s2890160890.jpg,minimal,2890160890,urgent,Limited stock — grab yours now!,Hurry — Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black selling fast. Take it before it's gone.,Buy now,#design #everyday #musthave
outdoor_v0_s93195341.jpg,outdoor,93195341,formal,"Premium performance, reliable every day.",The Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black combines refined design with lasting durability — perfect for daily use.,Shop now,#design #everyday #musthave
outdoor_v0_s93195341.jpg,outdoor,93195341,witty,"Sip smarter, not harder.",This Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black keeps your drink hot and your hands happy. Fancy that!,Get it,#design #everyday #musthave
outdoor_v0_s93195341.jpg,outdoor,93195341,urgent,Limited stock — grab yours now!,Hurry — Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black selling fast. Take it before it's gone.,Buy now,#design #everyday #musthave
mockup_v0_s3329905334.jpg,mockup,3329905334,formal,"Premium performance, reliable every day.",The Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black combines refined design with lasting durability — perfect for daily use.,Shop now,#design #everyday #musthave
mockup_v0_s3329905334.jpg,mockup,3329905334,witty,"Sip smarter, not harder.",This Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black keeps your drink hot and your hands happy. Fancy that!,Get it,#design #everyday #musthave
mockup_v0_s3329905334.jpg,mockup,3329905334,urgent,Limited stock — grab yours now!,Hurry — Premium Insulated Stainless Steel Travel Mug - 12oz Matte Black selling fast. Take it before it's gone.,Buy now,#design #everyday #musthave
